timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-16T00:00:00.000Z";"2024-10-16T23:59:59.999Z";"2024-10-16T02:16:00.000Z";"2024-10-16T07:19:00.000Z";"2781";1.8730948968;1.8802077635;1.8407918163;1.8586056058;22461166.34;510182562.95;"2024-10-16T23:59:59.999Z"
"2024-10-15T00:00:00.000Z";"2024-10-15T23:59:59.999Z";"2024-10-15T00:32:00.000Z";"2024-10-15T15:12:00.000Z";"2781";1.915606359;1.9243099041;1.8128910782;1.8730948968;39509322.53;514050562.46;"2024-10-15T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-14T23:59:59.999Z";"2024-10-14T23:06:00.000Z";"2024-10-14T01:02:00.000Z";"2781";1.8249801856;1.920812211;1.807294349;1.915606359;24163937.56;525471674;"2024-10-14T23:59:59.999Z"
"2024-10-13T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-13T00:38:00.000Z";"2024-10-13T18:17:00.000Z";"2781";1.86199834;1.8679329926;1.7838130764;1.8249801856;19132285.95;510396323.32;"2024-10-13T23:59:59.999Z"
"2024-10-12T00:00:00.000Z";"2024-10-12T23:59:59.999Z";"2024-10-12T11:26:00.000Z";"2024-10-12T00:00:00.000Z";"2781";1.8393328445;1.8848711807;1.8393299567;1.86199834;15932529.32;520626716.86;"2024-10-12T23:59:59.999Z"
"2024-10-11T00:00:00.000Z";"2024-10-11T23:59:59.999Z";"2024-10-11T21:37:00.000Z";"2024-10-11T06:18:00.000Z";"2781";1.80231344;1.8519791411;1.7991651259;1.8393328445;17375865.97;514221056.57;"2024-10-11T23:59:59.999Z"
"2024-10-10T00:00:00.000Z";"2024-10-10T23:59:59.999Z";"2024-10-10T05:57:00.000Z";"2024-10-10T18:29:00.000Z";"2781";1.8312156208;1.856651726;1.7335076227;1.8023189359;23854779.38;494018361.74;"2024-10-10T23:59:59.999Z"
"2024-10-09T00:00:00.000Z";"2024-10-09T23:59:59.999Z";"2024-10-09T06:18:00.000Z";"2024-10-09T21:07:00.000Z";"2781";1.8813146107;1.9088553527;1.8147397752;1.8312156208;24390854.39;500304246.8;"2024-10-09T23:59:59.999Z"
"2024-10-08T00:00:00.000Z";"2024-10-08T23:59:59.999Z";"2024-10-08T15:04:00.000Z";"2024-10-08T07:29:00.000Z";"2781";1.8676928183;1.8935875526;1.8411620764;1.8813146107;25275424.09;513897956.57;"2024-10-08T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-07T23:59:59.999Z";"2024-10-07T03:07:00.000Z";"2024-10-07T23:59:00.000Z";"2781";1.8847840317;1.937610969;1.8676928183;1.8676928183;27022657.11;510095189.23;"2024-10-07T23:59:59.999Z"
"2024-10-06T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-10-06T16:10:00.000Z";"2024-10-06T04:52:00.000Z";"2781";1.8707978538;1.8932911731;1.855418655;1.8847840317;17427629.36;514971607.9;"2024-10-06T23:59:59.999Z"
"2024-10-05T00:00:00.000Z";"2024-10-05T23:59:59.999Z";"2024-10-05T08:28:00.000Z";"2024-10-05T03:04:00.000Z";"2781";1.8596695387;1.895161733;1.8483788638;1.8707978538;16344328.66;511074583.99;"2024-10-05T23:59:59.999Z"
"2024-10-04T00:00:00.000Z";"2024-10-04T23:59:59.999Z";"2024-10-04T19:07:00.000Z";"2024-10-04T01:03:00.000Z";"2781";1.7935164982;1.8733841238;1.790147976;1.8596695387;17435760.18;507887166.59;"2024-10-04T23:59:59.999Z"
"2024-10-03T00:00:00.000Z";"2024-10-03T23:59:59.999Z";"2024-10-03T04:50:00.000Z";"2024-10-03T15:43:00.000Z";"2781";1.8296582358;1.8535239627;1.7496546615;1.7935164982;31982352.49;489746299.83;"2024-10-03T23:59:59.999Z"
"2024-10-02T00:00:00.000Z";"2024-10-02T23:59:59.999Z";"2024-10-02T08:45:00.000Z";"2024-10-02T19:22:00.000Z";"2781";1.8894911653;1.9414873783;1.8051008312;1.8296582358;34345948.52;499401602.93;"2024-10-02T23:59:59.999Z"
"2024-10-01T00:00:00.000Z";"2024-10-01T23:59:59.999Z";"2024-10-01T07:46:00.000Z";"2024-10-01T17:24:00.000Z";"2781";2.0173142626;2.0789360188;1.8506025779;1.8894911653;40581124.77;515362053.38;"2024-10-01T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-09-30T23:59:59.999Z";"2024-09-30T00:22:00.000Z";"2024-09-30T23:46:00.000Z";"2781";2.1298961383;2.1332022152;2.0095780988;2.0173142626;31949622.76;549462772.1;"2024-09-30T23:59:59.999Z"
"2024-09-29T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-29T20:07:00.000Z";"2024-09-29T07:58:00.000Z";"2781";2.1462120396;2.1630797694;2.0951708051;2.1298961383;25160416.54;590217142.99;"2024-09-29T23:59:59.999Z"
